FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,A0.1,A0.2,A1,A2,A3.1,A3.2,A3.3,A0.3,A0.4,A0.5
MDV,BB,LS,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,BB,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,BBM,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,BBN,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,BBOF,FS,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,BBOF,LA,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,BBOF,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
MDV,HAND,FD,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
MDV,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
MDV,HLOF,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
MDV,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
MDV,LLCO,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
MDV,TROL,LA,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MDV,TROL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MDV,TROLM,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MDV,UNCL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MOZ,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
MOZ,FLL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
MOZ,GILL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MOZ,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
MOZ,SPOR,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MOZ,TROL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MOZ  ,BS,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MOZ  ,HARP,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MOZ  ,PSS,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MUS,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
MUS,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
MUS,HATR,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MUS,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
MUS,LLCO,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
MUS,PS,FS,PSFS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MUS,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MUS,PS,UNCL,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MUS,PSOB,UNCL,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MUS,SPOR,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MUS,TROL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
MYS,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
NEICE,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
NEI-DFRZ,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
NEI-DFRZ,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
NEIDN,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
NEIFR,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
NEIFR,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
NEI-ICE,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
NEI-IDN,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
NEI-OTH,PS,FS,PSFS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
NEI-OTH,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
NEIPS,PS,FS,PSFS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
NEIPS,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
NEISU,PS,FS,PSFS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
NEISU,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
NEI-SUN,PS,FS,PSFS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
NEI-SUN,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
OMN,GILL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
OMN  ,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
PAK,GILL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
